age,education_level,cgpa,math_score,physics_score,biology_score,history_score,openness,conscientiousness,extraversion,agreeableness,neuroticism,weekly_self_study_hours,extracurricular_activities,hobbies,interests,budget,career_demand_score,career_aspiration
29,PG,7.4,63,56,85,63,1,4,2,2,3,22,0,gaming,business,15,8,Arts
13,Grade 10,7.2,63,79,70,66,3,3,3,2,3,23,1,"history, dance, travel",healthcare,8,7,Engineering
15,Grade 10,9.2,92,74,50,75,3,3,4,3,2,15,1,"history, dance, writing",arts,13,10,Engineering
26,UG,7.4,86,90,71,69,2,2,3,3,3,13,1,"sports, gaming",healthcare,8,4,Lawyer
18,UG,5.9,73,65,74,75,4,2,2,3,2,32,0,"gaming, research, dance",business,7,4,CA
24,UG,6.9,81,66,61,72,2,2,1,3,5,23,0,"music, reading",arts,5,8,Defence Persenal
14,Grade 10,7.3,70,68,77,71,1,3,2,3,3,33,0,"history, research, finance",business,10,6,CA
20,UG,8.9,53,69,57,64,2,3,2,2,1,33,1,gaming,technology,10,3,Defence Persenal
20,UG,8.3,68,91,76,84,4,1,1,1,3,12,0,"history, dance, music",business,8,6,Data Scientist
13,Grade 10,8,97,79,78,50,2,2,4,4,4,30,1,gaming,technology,11,5,Defence Persenal
20,UG,7.4,86,70,85,59,4,2,3,4,3,27,1,"science, reading",healthcare,8,8,Defence Persenal
25,PG,7.1,70,66,91,52,3,2,2,3,1,14,1,gaming,healthcare,7,10,Data Scientist
20,UG,8.9,80,75,52,71,2,4,1,2,3,21,0,"painting, sports",technology,8,4,Lawyer
13,Grade 10,6,75,58,60,64,3,1,2,3,2,24,0,"history, debate",business,13,9,IT Specialist
22,UG,8.4,69,60,67,66,1,2,5,1,4,26,1,science,technology,9,3,Lawyer
19,UG,6.7,84,87,73,77,2,3,1,1,1,9,0,travel,business,7,7,MBA
13,Grade 10,7.9,82,76,91,56,2,2,1,4,1,27,0,"reading, sports, finance",technology,10,6,IT Specialist
19,UG,8.8,81,82,76,50,2,4,3,2,2,29,1,reading,arts,11,10,Defence Persenal
13,Grade 10,8.4,80,53,80,70,2,3,2,3,1,20,1,travel,healthcare,16,3,Historian
15,Grade 10,6,89,85,73,52,3,3,1,2,2,16,1,"history, travel",technology,5,9,IT Specialist
21,UG,7.3,84,79,54,53,3,3,4,3,3,12,0,finance,technology,12,9,Lawyer
23,PG,6,97,80,65,73,2,3,3,4,4,5,0,"dance, painting, sports",technology,3,10,Lawyer
20,UG,7.9,88,93,70,81,4,2,3,4,1,26,1,debate,arts,10,3,Software Engineer
16,Grade 12,6.8,86,85,72,53,2,2,3,3,4,13,1,"research, gaming, debate",business,10,10,Engineering
19,UG,6.2,70,63,85,81,2,2,4,2,2,19,1,"gaming, writing",technology,18,6,IT Specialist
23,UG,7.5,81,87,63,70,3,2,1,3,4,20,1,science,technology,5,7,Lawyer
16,Grade 12,7,78,80,70,85,4,4,2,3,3,16,1,"gaming, travel",technology,11,4,Finance Manager
