id,age,education_level,cgpa,math_score,physics_score,biology_score,history_score,openness,conscientiousness,extraversion,agreeableness,neuroticism,weekly_self_study_hours,extracurricular_activities,hobbies,interests,budget,career_demand_score,career_aspiration
1,29,PG,7.4,63,56,85,63,1,4,2,2,3,22,0,gaming,business,15,8,Arts
2,13,Grade 10,7.2,63,79,70,66,3,3,3,2,3,23,1,"history, dance, travel",healthcare,8,7,Engineering
3,15,Grade 10,9.2,92,74,50,75,3,3,4,3,2,15,1,"history, dance, writing",arts,13,10,Engineering
4,26,UG,7.4,86,90,71,69,2,2,3,3,3,13,1,"sports, gaming",healthcare,8,4,Lawyer
5,18,UG,5.9,73,65,74,75,4,2,2,3,2,32,0,"gaming, research, dance",business,7,4,CA
6,24,UG,6.9,81,66,61,72,2,2,1,3,5,23,0,"music, reading",arts,5,8,Defence Persenal
7,14,Grade 10,7.3,70,68,77,71,1,3,2,3,3,33,0,"history, research, finance",business,10,6,CA
8,20,UG,8.9,53,69,57,64,2,3,2,2,1,33,1,gaming,technology,10,3,Defence Persenal
9,20,UG,8.3,68,91,76,84,4,1,1,1,3,12,0,"history, dance, music",business,8,6,Data Scientist
10,13,Grade 10,8.0,97,79,78,50,2,2,4,4,4,30,1,gaming,technology,11,5,Defence Persenal
11,20,UG,7.4,86,70,85,59,4,2,3,4,3,27,1,"science, reading",healthcare,8,8,Defence Persenal
12,25,PG,7.1,70,66,91,52,3,2,2,3,1,14,1,gaming,healthcare,7,10,Data Scientist
13,20,UG,8.9,80,75,52,71,2,4,1,2,3,21,0,"painting, sports",technology,8,4,Lawyer
14,13,Grade 10,6.0,75,58,60,64,3,1,2,3,2,24,0,"history, debate",business,13,9,IT Specialist
15,22,UG,8.4,69,60,67,66,1,2,5,1,4,26,1,science,technology,9,3,Lawyer
16,19,UG,6.7,84,87,73,77,2,3,1,1,1,9,0,travel,business,7,7,MBA
17,13,Grade 10,7.9,82,76,91,56,2,2,1,4,1,27,0,"reading, sports, finance",technology,10,6,IT Specialist
18,19,UG,8.8,81,82,76,50,2,4,3,2,2,29,1,reading,arts,11,10,Defence Persenal
19,13,Grade 10,8.4,80,53,80,70,2,3,2,3,1,20,1,travel,healthcare,16,3,Historian
20,15,Grade 10,6.0,89,85,73,52,3,3,1,2,2,16,1,"history, travel",technology,5,9,IT Specialist
21,21,UG,7.3,84,79,54,53,3,3,4,3,3,12,0,finance,technology,12,9,Lawyer
22,23,PG,6.0,97,80,65,73,2,3,3,4,4,5,0,"dance, painting, sports",technology,3,10,Lawyer
23,20,UG,7.9,88,93,70,81,4,2,3,4,1,26,1,debate,arts,10,3,Software Engineer
24,16,Grade 12,6.8,86,85,72,53,2,2,3,3,4,13,1,"research, gaming, debate",business,10,10,Engineering
25,19,UG,6.2,70,63,85,81,2,2,4,2,2,19,1,"gaming, writing",technology,18,6,IT Specialist
26,23,UG,7.5,81,87,63,70,3,2,1,3,4,20,1,science,technology,5,7,Lawyer
27,16,Grade 12,7.0,78,80,70,85,4,4,2,3,3,16,1,"gaming, travel",technology,11,4,Finance Manager
28,20,UG,7.0,85,66,77,64,2,2,3,2,2,18,1,history,arts,7,6,Medicine
29,24,PG,7.0,80,84,81,75,3,3,3,2,4,17,1,writing,technology,4,7,IT Specialist
30,17,Grade 12,7.9,76,83,62,70,1,3,3,4,2,16,0,"dance, gaming, sports",business,7,6,IT Specialist
31,22,UG,8.3,58,83,69,74,1,2,3,2,4,21,1,"history, research, music",arts,5,6,Software Engineer
32,18,UG,5.2,87,58,66,70,3,3,3,3,2,24,1,gaming,healthcare,5,8,Arts
33,17,Grade 12,8.3,71,82,79,79,5,2,5,2,1,17,0,"painting, history, debate",technology,12,10,Historian
34,22,UG,7.6,60,71,50,69,2,2,3,2,1,26,0,gaming,arts,9,8,Engineering
35,16,Grade 12,6.4,67,67,61,73,1,2,2,4,2,30,0,"sports, gaming, travel",arts,9,6,Lawyer
36,18,UG,5.8,70,77,67,58,2,3,3,2,3,5,1,coding,business,12,7,MBA
37,18,UG,6.9,84,92,78,75,1,1,3,1,2,19,1,travel,healthcare,11,7,Lawyer
38,27,PG,8.1,63,79,67,51,4,2,3,2,2,14,0,travel,healthcare,14,10,CA
39,22,UG,8.0,74,65,53,63,2,4,3,2,2,20,1,painting,healthcare,10,6,MBA
40,21,UG,6.6,65,64,85,58,3,3,2,2,3,22,1,"reading, writing, travel",arts,11,8,Historian
41,19,UG,6.6,71,77,86,57,2,2,1,4,3,24,1,"debate, music",arts,3,7,Lawyer
42,22,UG,7.2,76,90,71,53,2,1,2,1,2,22,0,"debate, science",technology,11,5,Arts
43,13,Grade 10,7.1,68,78,50,73,4,2,1,1,4,19,0,"science, painting, history",arts,13,6,Engineering
44,13,Grade 10,7.4,77,84,72,68,3,2,1,5,2,23,0,"finance, science",business,11,6,Lawyer
45,19,UG,7.0,65,83,67,76,4,4,1,2,3,13,1,"reading, science",technology,8,6,Finance Manager
46,24,UG,7.1,81,58,65,54,2,1,2,2,2,15,1,"music, travel",healthcare,13,5,MBA
47,13,Grade 10,10.0,63,77,74,62,2,3,3,1,1,15,1,"music, gaming",arts,11,9,Software Engineer
48,23,UG,7.2,60,61,66,52,2,1,3,2,2,26,1,"painting, travel, finance",arts,10,3,Lawyer
49,18,UG,7.3,89,94,66,50,3,2,1,2,3,24,1,"dance, travel",healthcare,12,7,Arts
50,16,Grade 12,8.5,85,67,72,77,2,3,3,3,3,17,0,debate,arts,4,7,CA
51,23,PG,7.0,91,81,65,64,2,2,2,3,3,24,1,"research, writing, gaming",technology,13,10,Historian
52,23,PG,7.7,62,77,63,76,3,2,3,4,2,20,0,science,healthcare,9,9,Data Scientist
53,14,Grade 10,7.4,61,77,66,60,1,4,3,3,3,15,0,"writing, coding",business,12,3,MBA
54,23,PG,7.2,84,90,66,62,4,1,3,2,3,23,1,"reading, gaming",healthcare,3,7,Finance Manager
55,24,PG,6.8,97,65,94,66,3,3,2,3,3,22,1,painting,technology,6,8,Finance Manager
56,20,UG,8.1,62,67,75,66,3,2,3,3,1,13,1,"travel, reading, debate",business,3,7,Defence Persenal
57,19,UG,7.3,83,93,66,50,3,4,3,3,3,18,1,"gaming, science",healthcare,14,8,Medicine
58,27,PG,8.2,89,91,55,63,2,4,3,3,2,27,0,"science, gaming, painting",technology,11,7,Finance Manager
59,21,UG,6.9,82,71,67,77,3,3,3,4,3,28,1,"dance, finance",arts,11,7,Engineering
60,18,UG,8.6,77,78,57,63,4,3,1,2,3,26,1,"history, science",technology,10,3,Arts
61,24,UG,9.3,55,70,89,70,5,3,3,1,2,15,1,travel,arts,12,6,Data Scientist
62,22,UG,10.0,83,69,82,56,4,3,3,1,2,15,0,"coding, gaming, research",arts,6,8,Lawyer
63,22,UG,7.4,80,72,77,78,2,3,3,2,1,10,1,history,business,11,6,Lawyer
64,19,UG,7.7,80,63,69,83,3,2,2,2,3,10,0,"finance, research",arts,14,5,Arts
65,23,PG,7.8,62,85,69,90,3,3,3,2,3,25,0,"finance, dance, sports",arts,7,6,Finance Manager
66,13,Grade 10,9.1,79,76,82,50,3,1,2,2,1,23,1,"dance, reading",business,13,4,IT Specialist
67,14,Grade 10,9.3,62,77,90,78,4,4,1,2,2,9,1,"science, dance",business,5,7,Medicine
68,13,Grade 10,5.9,71,88,68,64,2,1,1,4,3,17,1,"coding, research",business,12,4,Historian
69,22,UG,7.7,87,84,56,56,3,2,4,1,3,19,1,"gaming, travel",arts,10,8,Data Scientist
